Rizer	104	9551	99.39	76306 	1,359	3,313	485
Flask	105	9545	98.63	55619 	123	1,729	1,020
AtHeoN	106	9537	99.17	122404 	102	1,742	678
Spook	107	9523	97.90	105293 	117	1,080	1,305
hshs	108	9521	98.99	143330 	231	2,205	1,013
My_Aim_Trash	109	9506	99.48	154548 	202	1,624	1,606
Splinter572	110	9502	98.78	191552 	685	1,784	776
Meltina	111	9498	99.15	105235 	160	1,899	763
Castiel	112	9494	99.08	57570 	190	2,590	1,106
Smoothie_World	113	9479	98.75	80246 	108	873	1,469
cmnk	114	9474	98.64	78438 	104	986	959
Moffo	115	9464	96.38	156043 	96	1,292	697
Risiing	116	9456	99.10	88825 	155	959	547
ReaL_motion	117	9436	99.26	130626 	136	2,244	1,076
Identical	118	9397	99.10	62675 	128	903	628
bango	119	9397	97.55	74778 	6	262	505
DenierNezzar	120	9397	98.58	118745 	92	2,014	1,225
DuNai	121	9384	98.88	86913 	54	1,733	1,190
r0ck	122	9371	99.01	109445 	262	2,761	1,049
Emperorpenguin83	123	9366	99.22	109327 	196	2,391	1,021
bahamete	124	9361	98.66	97024 	162	1,012	470
pyon	125	9352	98.83	98276 	254	1,952	737
uvrv	126	9350	98.33	73059 	62	1,374	680
Alien	127	9344	99.09	88268 	19	705	815
sayonara-bye	128	9341	98.84	115417 	191	2,436	837
freedomdiver	129	9335	91.23	36372 	232	739	356
MrBooM	130	9330	98.95	47912 	16	728	526
Rhythm_blue	131	9306	98.85	57278 	4	765	654
Dsan	132	9287	99.23	133659 	664	3,524	686
My_Angel_DanyL	133	9287	97.69	104838 	16	408	808
Firstus	134	9282	98.99	69054 	175	2,345	1,274
Kaanibaru	135	9274	98.60	87404 	28	527	458
Pring	136	9263	96.96	58480 	85	1,501	385
Hyppyri	137	9256	99.12	114419 	102	1,211	1,603
Yazone	138	9249	99.03	89934 	151	1,361	998
DenObscure	139	9239	98.53	108683 	137	1,964	1,039
HaruTachi-	140	9237	98.67	39636 	8	422	895
Stoof	141	9230	98.91	66603 	66	786	1,102
AmaiHachimitsu	142	9223	98.85	203781 	86	1,668	574
Clarity	143	9222	98.93	80927 	249	1,297	311
Doomsday	144	9219	98.13	260681 	891	6,654	1,298
ItsKevZii	145	9217	98.84	92538 	32	982	777
MeiMei	146	9216	99.21	33094 	16	429	287
Epiphany	147	9210	99.54	64461 	241	1,075	1,086
Lexalia	148	9191	98.85	71685 	118	1,172	642
-HERO-	149	9189	98.75	167601 	147	882	801
gasanww	150	9188	99.61	201183 	1,104	3,845	77
My_Aim_Zogs	151	9167	99.33	111343 	114	1,013	950
Warrock	152	9163	99.26	91528 	267	1,543	1,423
Reifos	153	9161	99.49	68464 	283	1,208	190
Mayoi_Hachikuji	154	9153	98.70	142920 	100	1,270	1,262
SliderNOOB	155	9153	98.90	54727 	392	474	334
GSBlank	156	9143	98.87	101519 	52	2,793	1,807
imagaK	157	9141	98.70	104895 	253	2,421	929
he_rack	158	9137	98.02	92990 	68	1,051	930
Koba	159	9135	99.39	174897 	374	1,434	960
-_Phantasma_-	160	9135	98.33	84734 	172	1,448	1,039
Riven	161	9133	99.17	144999 	96	1,077	992
BlueFlame	162	9131	98.98	173077 	121	1,956	986
Chronomarly	163	9128	99.26	85214 	216	708	303
Psycopath-	164	9128	98.88	161810 	28	839	842
Syph	165	9120	98.96	64392 	35	538	1,122
isokasapupuja	166	9115	99.05	125679 	147	1,493	938
Toke	167	9111	98.62	305429 	79	1,467	1,702
SilveRain	168	9110	98.43	93862 	672	1,753	638
T_A_K_A_O	169	9101	99.27	82811 	150	867	1,290
legekka	170	9095	99.08	62268 	148	951	845
Sebu	171	9094	98.82	160328 	32	1,062	924
Mira-san	172	9089	98.74	69453 	171	1,004	213
Rekaru	173	9084	99.29	78802 	229	1,197	770
Satoruu	174	9076	99.44	49901 	293	1,200	624
SpajdeR	175	9076	99.18	122045 	176	1,492	495
Twintail	176	9066	99.27	97255 	2,176	1,239	146
Koalazy	177	9063	97.19	113824 	348	2,695	619
[_DANIEZ_]	178	9062	98.39	130983 	220	2,684	544
oxycodone	179	9058	97.65	191613 	62	1,185	1,084
wuhua	180	9055	97.98	144365 	247	1,109	852
-Archangel-	181	9052	98.10	107727 	182	2,053	1,202
Saimonea	182	9051	98.79	69492 	213	657	204
Arnbition	183	9047	99.56	63196 	24	835	341
Runa	184	9046	99.04	44867 	238	842	641
Pittigbaasje	185	9045	99.14	63251 	85	1,188	532
Neta	186	9043	99.10	91776 	258	3,227	192
karalis	187	9042	98.48	86019 	52	1,087	879
Ritzeh	188	9031	98.95	81900 	100	1,647	725
Astana	189	9025	98.60	75311 	16	649	587
Umbre	190	9019	99.25	120882 	164	784	1,159
Seouless	191	9014	98.75	156030 	59	1,531	867
smiljko	192	9011	98.92	61904 	52	842	752
ChronoTrig	193	9007	98.83	129603 	114	1,368	815
Gokuri	194	9000	99.06	101568 	193	1,520	1,036
harunaruna	195	8980	98.55	113029 	133	1,241	641
Qu1z	196	8980	97.85	67898 	36	557	912
ChitogeOP	197	8977	98.13	98512 	48	714	683
Hundur	198	8971	98.92	112884 	60	917	1,500
Tiger_Claw	199	8969	98.29	114439 	42	1,041	1,253
Cheese_Kai	200	8960	99.02	53524 	30	543	787
Toushi	201	8954	99.12	80658 	51	899	870
Kaoru	202	8948	99.25	146147 	279	3,682	2,608
Haganenno	203	8944	99.11	81665 	155	875	688
saikurondark	204	8937	98.92	76536 	12	435	339
Enon	205	8932	99.09	107524 	192	1,835	1,049
-Kazuki-	206	8930	98.89	123496 	548	1,486	1,040
Wario	207	8925	99.20	89410 	165	1,118	1,410
MetoA	208	8919	98.68	61008 	90	982	747
-NeBu-	209	8916	98.95	66433 	514	1,588	302
mniminwoo	210	8914	98.88	113018 	100	1,236	1,181
[RanYakumo]	211	8909	98.76	97515 	158	1,981	566
Mrotaku	212	8905	98.93	64912 	64	1,101	589
Yellow	213	8900	98.80	85772 	74	983	454
ExLeaF	214	8888	98.40	71580 	55	699	601
fartownik	215	8884	99.15	263137 	138	2,436	1,229
FlowR	216	8883	99.17	127829 	129	1,141	793
Sakke	217	8883	98.33	65431 	14	305	202
-_G_I_D_Z_-	218	8881	98.65	131871 	176	1,907	786
Touchette	219	8877	98.12	63264 	44	1,026	524
chugleader	220	8873	96.74	183406 	125	1,194	1,005
NuHaru	221	8871	98.15	37340 	17	1,013	754
yellowy246	222	8863	98.93	86352 	205	1,024	832
scuoa	223	8858	99.37	69271 	172	1,680	1,003
[Lunatic_Bell]	224	8856	98.39	125965 	20	1,017	599
Area	225	8855	98.58	103588 	171	2,062	857
w1sp	226	8845	98.08	20929 	20	443	494
Happy_New_Year	227	8832	98.89	75918 	691	1,924	141
ftg	228	8831	98.95	101076 	48	957	808
Jonimay	229	8828	98.69	125051 	91	1,405	1,355
waywern2012	230	8827	98.44	62966 	135	950	1,274
Worne	231	8826	99.48	139944 	1,125	3,031	214
Broodich	232	8825	99.11	186156 	700	3,001	2,328
Emula	233	8819	99.07	97910 	142	2,178	612
Lovestruck	234	8817	98.71	71652 	61	594	487
Lolisim	235	8809	99.26	79905 	241	1,015	534
PikaPwn	236	8805	99.27	55605 	101	888	815
Saix	237	8802	99.29	59661 	81	1,072	64
Kabu	238	8801	99.26	116502 	87	691	827
MrPotato	239	8801	98.91	120182 	128	1,374	895
Yakisoba_Pan	240	8799	98.96	146456 	435	1,469	963
Sakurai_Momoka	241	8799	98.78	77475 	243	2,288	1,081
Puffydaddy	242	8797	99.26	67888 	24	719	1,253
BDDav	243	8795	99.41	114583 	420	1,609	281
Shelbis	244	8784	98.69	63238 	35	665	733
Orbi	245	8782	99.20	102488 	77	1,333	496
