Kanon,97.59,127081,5857,113,3739,1187
Celis,99.24,107649,5849,190,1095,581
listless,98.54,74019,6111,83,691,605
Kaoru,98.52,115231,6101,259,3193,2181
Commy,98.8,60730,6095,225,1036,118
Colored,98.31,122913,6083,213,3200,427
pooptartsonas,99,46932,6082,85,595,516
KAKALOTE,98.81,110522,6075,430,3360,991
SapphireGhost,98.57,93789,6052,1350,6476,1
NerO,98.67,77981,6046,133,1076,470
CookieNia,97.12,45845,6036,58,643,340
Marie Rose,98.41,7475,6023,144,427,6
Shott,98.93,117390,6004,32,1180,1059
masterkong,98.3,161769,5997,131,2620,770
Regnall,98.89,75932,5986,275,1546,467
mookss1231,98.73,46292,5978,95,1221,883
[ Beatrice ],99.44,118116,5936,2583,2524,160
JAKACHAN,99.03,86940,5928,171,1756,581
Mayzel,97.39,119644,5923,489,3099,661
Yazone,98.39,28142,5914,66,609,319
LoGo,98.46,193000,5905,138,1253,896
[ - Flandre - ],98.15,47281,5898,36,715,254
Mizuki-,98.08,95471,5876,152,1140,864
5231_Kinoko,98.58,167746,5871,517,6262,1149
Subbie,99.06,83607,5859,505,1129,178
Horo,99.16,60492,5852,442,814,868
Kain Highwind,98.73,19943,5848,57,306,192
Ruru,98.72,47011,5846,121,1041,175
HineX,98.52,47074,5839,95,1424,445
banana_sa,99.09,62011,5830,164,1518,534
Vmx,99.2,94012,5810,127,2405,409
Worne,99.04,75825,5798,516,2281,338
Omgforz,98.01,29190,5774,15,1007,509
rEdo,99.69,78370,5768,6364,88,62
rylaii,98.65,22568,5763,55,326,101
kittehcommando,98.73,26436,5757,72,817,663
M A I D,98.79,138117,5744,389,5058,402
doctorindark,99.98,119972,5728,2430,29,0
Salvage,99.41,95824,5710,940,5864,5
MickywOw,98.64,63506,5698,121,1322,394
LuckyStrike,98.74,65625,5695,619,980,701
Mythol,98.85,41744,5686,191,2939,709
oohily,98.52,58446,5676,83,2536,733
Iris,98.81,29645,5670,211,1251,165
Kyou-kun,99.04,90312,5666,251,1012,669
Pain,99.1,64955,5661,316,1248,350
Bauxe,98.57,43107,5654,119,1996,554
Galiel,99.06,61158,5643,777,2031,333
erk,97.74,46217,5626,15,1043,783
Ametsuchi,98.83,17626,5621,88,477,130
Rain,98.83,9074,5617,19,165,84
P a l a d i n,98.75,31871,5615,26,241,198
Mayoler,98.91,46164,5842,99,1612,449
Twintail,99.49,53341,5832,1139,502,12
My Accuracy Sucks,98.32,35971,5830,109,1041,85
Reisen Inaba,97.37,18390,5800,12,430,361
Climate,99.16,81125,5791,840,1130,4
r0ck,99.15,49282,5770,158,1395,313
Len,98.72,120470,5767,273,2839,573
Layne,98.15,96546,5762,87,1785,399
Change,98.72,77662,5744,153,2006,720
